BGGId,Name,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,latent_33,latent_34,latent_35,latent_36,latent_37,latent_38,latent_39,latent_40,latent_41,latent_42,latent_43,latent_44,latent_45,latent_46,latent_47,latent_48,latent_49,latent_50,latent_51,latent_52,latent_53,latent_54,latent_55,latent_56,latent_57,latent_58,latent_59,latent_60,latent_61,latent_62,latent_63
344.0,Members Only,0.0,0.0,0.0,5.8082404,4.339531,7.647948,0.0,4.7251725,0.0,5.479748,9.275206,0.0,0.0,6.6891584,0.56527185,0.0,6.848151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.399055,2.0718944,6.2298756,8.763203,1.0786412,1.1601982,5.221362,0.6982587,0.0,1.6850513,0.0,0.0,0.7639536,3.8986647,0.0,7.2901335,0.0,2.947623,5.0031457,3.077861,0.0,0.0,0.0,1.4700005,3.876134,0.0,2.387936,0.0,0.0,5.0352025,1.2516699,2.2880044,0.0,0.0,0.0,0.0,7.093137,0.0,3.2034721
350.0,Hattrick,0.0,0.0,0.0,5.737431,4.2812552,7.5567493,0.0,4.670204,0.0,5.4109926,9.157399,0.0,0.0,6.6070724,0.55699193,0.0,6.7625794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3571124,2.0461009,6.158282,8.652625,1.0674837,1.1447603,5.155568,0.6882837,0.0,1.6636618,0.0,0.0,0.7506405,3.8483164,0.0,7.1996455,0.0,2.910988,4.938829,3.0384576,0.0,0.0,0.0,1.4511695,3.8288498,0.0,2.3563771,0.0,0.0,4.97717,1.2374167,2.2609425,0.0,0.0,0.0,0.0,7.0082145,0.0,3.1649482
387.0,Corruption,0.0,0.0,0.0,5.763103,4.2990985,7.5913625,0.0,4.689061,0.0,5.4326487,9.20219,0.0,0.0,6.6361456,0.5643537,0.0,6.798124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3772588,2.054853,6.187314,8.69435,1.0721309,1.1519154,5.178804,0.690209,0.0,1.6733251,0.0,0.0,0.75241405,3.8698344,0.0,7.2353225,0.0,2.9279563,4.9637713,3.0526927,0.0,0.0,0.0,1.461883,3.8496275,0.0,2.373247,0.0,0.0,4.9986506,1.2454182,2.2718077,0.0,0.0,0.0,0.0,7.037783,0.0,3.1792655
417.0,Edison & Co.,0.0,0.0,0.0,5.784481,4.3188734,7.617412,0.0,4.700346,0.0,5.4514017,9.229402,0.0,0.0,6.660744,0.5678253,0.0,6.8184085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38463,2.061328,6.209761,8.72138,1.072928,1.153758,5.196837,0.6943017,0.0,1.6769863,0.0,0.0,0.75706667,3.8783882,0.0,7.260973,0.0,2.937073,4.9808793,3.0641055,0.0,0.0,0.0,1.4645488,3.865855,0.0,2.3795328,0.0,0.0,5.012885,1.2524561,2.2778058,0.0,0.0,0.0,0.0,7.06352,0.0,3.189335
426.0,The Battle of the Bulge,0.0,0.0,0.0,5.8791685,4.388659,7.7490773,0.0,4.7857504,0.0,5.544732,9.395549,0.0,0.0,6.774697,0.5772183,0.0,6.933569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.443119,2.0915785,6.3101892,8.878193,1.0892291,1.17624,5.2911406,0.70831954,0.0,1.7060133,0.0,0.0,0.772474,3.951915,0.0,7.382338,0.0,2.9820044,5.0666957,3.1071386,0.0,0.0,0.0,1.4890004,3.927086,0.0,2.4243379,0.0,0.0,5.0974536,1.2704195,2.3169405,0.0,0.0,0.0,0.0,7.177422,0.0,3.2436082
450.0,Octi,0.0,0.0,0.0,5.74836,4.2898455,7.567992,0.0,4.6733227,0.0,5.4165735,9.171501,0.0,0.0,6.6158795,0.56090367,0.0,6.771712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3602438,2.0490167,6.164736,8.665719,1.0647871,1.1430794,5.1668057,0.6899423,0.0,1.6654743,0.0,0.0,0.74987626,3.8567135,0.0,7.21302,0.0,2.9186277,4.9495935,3.0443056,0.0,0.0,0.0,1.4532291,3.836417,0.0,2.3596063,0.0,0.0,4.980137,1.2424146,2.2608745,0.0,0.0,0.0,0.0,7.0175595,0.0,3.1717267
460.0,Railway Rivals,0.0,0.0,0.0,5.767164,4.3039913,7.596001,0.0,4.685141,0.0,5.434062,9.2079525,0.0,0.0,6.645536,0.5605595,0.0,6.8043137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3748362,2.0517504,6.188317,8.700402,1.0714542,1.1488968,5.1840086,0.6903088,0.0,1.6748348,0.0,0.0,0.75460386,3.8690267,0.0,7.2368374,0.0,2.9277961,4.9712477,3.052055,0.0,0.0,0.0,1.4617916,3.8502414,0.0,2.3680902,0.0,0.0,4.99577,1.245952,2.2754388,0.0,0.0,0.0,0.0,7.03965,0.0,3.1816878
476.0,Mr. President,0.0,0.0,0.0,5.758922,4.2951965,7.580803,0.0,4.674469,0.0,5.42344,9.18653,0.0,0.0,6.6328406,0.5624666,0.0,6.7883606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3638911,2.0480976,6.174848,8.683971,1.0657623,1.1446038,5.173008,0.69225645,0.0,1.6751478,0.0,0.0,0.75432146,3.8610513,0.0,7.223225,0.0,2.9222271,4.956432,3.046412,0.0,0.0,0.0,1.4568502,3.8486166,0.0,2.3683167,0.0,0.0,4.990611,1.2441831,2.267935,0.0,0.0,0.0,0.0,7.029615,0.0,3.1715114
499.0,Arbos,0.0,0.0,0.0,5.8111057,4.3384333,7.660126,0.0,4.7266517,0.0,5.4847593,9.28039,0.0,0.0,6.6993914,0.5662872,0.0,6.856886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.402812,2.0712764,6.2401657,8.775,1.0781047,1.1631699,5.2292376,0.69784653,0.0,1.6905292,0.0,0.0,0.7588712,3.906893,0.0,7.298813,0.0,2.9560597,5.0076723,3.076644,0.0,0.0,0.0,1.4695455,3.8879178,0.0,2.3893607,0.0,0.0,5.038817,1.2575089,2.2913861,0.0,0.0,0.0,0.0,7.098557,0.0,3.205199
524.0,Desperados,0.0,0.0,0.0,5.7635703,4.299497,7.5900984,0.0,4.6861205,0.0,5.4337254,9.197236,0.0,0.0,6.6341043,0.5585932,0.0,6.7932253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.372011,2.0540442,6.18098,8.692495,1.0668746,1.1485885,5.177425,0.6940527,0.0,1.6719196,0.0,0.0,0.75710094,3.8624399,0.0,7.231646,0.0,2.9240212,4.9634266,3.0532312,0.0,0.0,0.0,1.4540112,3.8464808,0.0,2.369904,0.0,0.0,4.995019,1.2448112,2.2697353,0.0,0.0,0.0,0.0,7.0342402,0.0,3.1761317
